2026-06-15 14:56:46.939690: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-06-15 14:56:47.033053: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tb_monitor -> tb/sweep | total=1080 | every 30s
[  60.1 min]  281/1080 (26.0%)  rate= 3.3/min  eta=241.9 min  workers=30
[  60.6 min]  285/1080 (26.4%)  rate= 4.2/min  eta=190.1 min  workers=30
[  61.1 min]  291/1080 (26.9%)  rate= 5.5/min  eta=143.4 min  workers=30
[  61.6 min]  291/1080 (26.9%)  rate= 5.3/min  eta=149.3 min  workers=30
[  62.1 min]  292/1080 (27.0%)  rate= 4.8/min  eta=162.7 min  workers=30
[  62.6 min]  293/1080 (27.1%)  rate= 4.4/min  eta=178.7 min  workers=30
[  63.1 min]  295/1080 (27.3%)  rate= 4.6/min  eta=169.8 min  workers=30
[  63.6 min]  295/1080 (27.3%)  rate= 3.7/min  eta=209.7 min  workers=30
[  64.1 min]  297/1080 (27.5%)  rate= 4.2/min  eta=187.2 min  workers=30
[  64.6 min]  299/1080 (27.7%)  rate= 4.0/min  eta=197.3 min  workers=30
[  65.1 min]  299/1080 (27.7%)  rate= 3.1/min  eta=253.6 min  workers=30
[  65.6 min]  300/1080 (27.8%)  rate= 2.0/min  eta=393.9 min  workers=30
[  66.1 min]  304/1080 (28.1%)  rate= 2.9/min  eta=271.4 min  workers=30
[  66.6 min]  305/1080 (28.2%)  rate= 2.9/min  eta=271.0 min  workers=30
[  67.1 min]  308/1080 (28.5%)  rate= 3.3/min  eta=234.0 min  workers=30
[  67.7 min]  310/1080 (28.7%)  rate= 3.3/min  eta=233.4 min  workers=30
[  68.2 min]  312/1080 (28.9%)  rate= 3.7/min  eta=205.4 min  workers=30
[  68.7 min]  312/1080 (28.9%)  rate= 3.3/min  eta=232.8 min  workers=30
[  69.2 min]  317/1080 (29.4%)  rate= 4.0/min  eta=192.6 min  workers=30
[  69.7 min]  321/1080 (29.7%)  rate= 4.8/min  eta=157.0 min  workers=30
[  70.2 min]  324/1080 (30.0%)  rate= 5.3/min  eta=143.4 min  workers=30
[  70.7 min]  325/1080 (30.1%)  rate= 4.6/min  eta=163.6 min  workers=30
[  71.2 min]  325/1080 (30.1%)  rate= 4.4/min  eta=171.8 min  workers=30
[  71.7 min]  327/1080 (30.3%)  rate= 4.2/min  eta=180.3 min  workers=30
[  72.2 min]  327/1080 (30.3%)  rate= 3.7/min  eta=201.5 min  workers=30
[  72.7 min]  328/1080 (30.4%)  rate= 3.5/min  eta=213.9 min  workers=30
[  73.2 min]  330/1080 (30.6%)  rate= 4.0/min  eta=189.6 min  workers=30
[  73.7 min]  332/1080 (30.7%)  rate= 3.3/min  eta=226.9 min  workers=30
[  74.2 min]  334/1080 (30.9%)  rate= 2.9/min  eta=260.6 min  workers=30
[  74.7 min]  337/1080 (31.2%)  rate= 2.9/min  eta=259.6 min  workers=30
[  75.2 min]  339/1080 (31.4%)  rate= 3.1/min  eta=240.4 min  workers=30
[  75.7 min]  341/1080 (31.6%)  rate= 3.5/min  eta=209.8 min  workers=30
[  76.2 min]  341/1080 (31.6%)  rate= 3.1/min  eta=239.8 min  workers=30
[  76.7 min]  346/1080 (32.0%)  rate= 4.2/min  eta=175.5 min  workers=30
[  77.2 min]  348/1080 (32.2%)  rate= 4.4/min  eta=166.3 min  workers=30
[  77.8 min]  351/1080 (32.5%)  rate= 4.6/min  eta=157.7 min  workers=30
[  78.3 min]  353/1080 (32.7%)  rate= 4.6/min  eta=157.2 min  workers=30
[  78.8 min]  355/1080 (32.9%)  rate= 4.6/min  eta=156.8 min  workers=30
[  79.3 min]  356/1080 (33.0%)  rate= 4.2/min  eta=173.0 min  workers=30
[  79.8 min]  358/1080 (33.1%)  rate= 4.2/min  eta=172.6 min  workers=30
[  80.3 min]  359/1080 (33.2%)  rate= 4.0/min  eta=181.9 min  workers=30
[  80.8 min]  360/1080 (33.3%)  rate= 4.2/min  eta=172.1 min  workers=30
[  81.3 min]  363/1080 (33.6%)  rate= 3.7/min  eta=191.6 min  workers=30
[  81.8 min]  364/1080 (33.7%)  rate= 3.5/min  eta=203.3 min  workers=30
[  82.3 min]  366/1080 (33.9%)  rate= 3.3/min  eta=216.3 min  workers=30
[  82.8 min]  368/1080 (34.1%)  rate= 3.3/min  eta=215.7 min  workers=30
